date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:12	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22663be566-239b%22	https://themewagon.github.io/robots.txt		(from )
12:36:12	38519/38519	---M-Z	200	added ('OK')	text/html	etag:W/%2263a03005-9677%22	https://themewagon.github.io/petsitting/	C:/My%20Web%20Sites/pet3/themewagon.github.io/petsitting/index.html	(from )
12:36:13	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/pet3/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://themewagon.github.io/petsitting/)
12:36:13	73641/73641	---M-Z	200	added ('OK')	text/css	etag:W/%2263a03005-11fa9%22	https://themewagon.github.io/petsitting/css/animate.css	C:/My%20Web%20Sites/pet3/themewagon.github.io/petsitting/css/animate.css	(from https://themewagon.github.io/petsitting/)
12:36:13	3440/3440	---M-Z	200	added ('OK')	text/css	etag:W/%2263a03005-d70%22	https://themewagon.github.io/petsitting/css/owl.carousel.min.css	C:/My%20Web%20Sites/pet3/themewagon.github.io/petsitting/css/owl.carousel.min.css	(from https://themewagon.github.io/petsitting/)
12:36:14	965/965	---M-Z	200	added ('OK')	text/css	etag:W/%2263a03005-3c5%22	https://themewagon.github.io/petsitting/css/owl.theme.default.min.css	C:/My%20Web%20Sites/pet3/themewagon.github.io/petsitting/css/owl.theme.default.min.css	(from https://themewagon.github.io/petsitting/)
12:36:14	6950/6950	---M-Z	200	added ('OK')	text/css	etag:W/%2263a03005-1b26%22	https://themewagon.github.io/petsitting/css/magnific-popup.css	C:/My%20Web%20Sites/pet3/themewagon.github.io/petsitting/css/magnific-popup.css	(from https://themewagon.github.io/petsitting/)
12:36:15	17945/17945	---M-Z	200	added ('OK')	text/css	etag:W/%2263a03005-4619%22	https://themewagon.github.io/petsitting/css/bootstrap-datepicker.css	C:/My%20Web%20Sites/pet3/themewagon.github.io/petsitting/css/bootstrap-datepicker.css	(from https://themewagon.github.io/petsitting/)
12:36:15	1588/1588	---M-Z	200	added ('OK')	text/css	etag:W/%2263a03005-634%22	https://themewagon.github.io/petsitting/css/jquery.timepicker.css	C:/My%20Web%20Sites/pet3/themewagon.github.io/petsitting/css/jquery.timepicker.css	(from https://themewagon.github.io/petsitting/)
12:36:15	1530/1530	---M-Z	200	added ('OK')	text/css	etag:W/%2263a03005-5fa%22	https://themewagon.github.io/petsitting/css/flaticon.css	C:/My%20Web%20Sites/pet3/themewagon.github.io/petsitting/css/flaticon.css	(from https://themewagon.github.io/petsitting/)
12:36:15	264465/264465	---M-Z	200	added ('OK')	text/css	etag:W/%2263a03005-40911%22	https://themewagon.github.io/petsitting/css/style.css	C:/My%20Web%20Sites/pet3/themewagon.github.io/petsitting/css/style.css	(from https://themewagon.github.io/petsitting/)
12:36:16	38519/38519	---M-Z	200	added ('OK')	text/html	etag:W/%2263a03005-9677%22	https://themewagon.github.io/petsitting/index.html	C:/My%20Web%20Sites/pet3/themewagon.github.io/petsitting/index-2.html	(from https://themewagon.github.io/petsitting/)
12:36:16	26358/26358	---M-Z	200	added ('OK')	text/html	etag:W/%2263a03005-66f6%22	https://themewagon.github.io/petsitting/about.html	C:/My%20Web%20Sites/pet3/themewagon.github.io/petsitting/about.html	(from https://themewagon.github.io/petsitting/)
12:36:16	19626/19626	---M-Z	200	added ('OK')	text/html	etag:W/%2263a03005-4caa%22	https://themewagon.github.io/petsitting/vet.html	C:/My%20Web%20Sites/pet3/themewagon.github.io/petsitting/vet.html	(from https://themewagon.github.io/petsitting/)
12:36:16	16503/16503	---M-Z	200	added ('OK')	text/html	etag:W/%2263a03005-4077%22	https://themewagon.github.io/petsitting/services.html	C:/My%20Web%20Sites/pet3/themewagon.github.io/petsitting/services.html	(from https://themewagon.github.io/petsitting/)
12:36:17	15433/15433	---M-Z	200	added ('OK')	text/html	etag:W/%2263a03005-3c49%22	https://themewagon.github.io/petsitting/gallery.html	C:/My%20Web%20Sites/pet3/themewagon.github.io/petsitting/gallery.html	(from https://themewagon.github.io/petsitting/)
12:36:18	15113/15113	---M-Z	200	added ('OK')	text/html	etag:W/%2263a03005-3b09%22	https://themewagon.github.io/petsitting/pricing.html	C:/My%20Web%20Sites/pet3/themewagon.github.io/petsitting/pricing.html	(from https://themewagon.github.io/petsitting/)
12:36:18	14444/14444	---M-Z	200	added ('OK')	text/html	etag:W/%2263a03005-386c%22	https://themewagon.github.io/petsitting/blog.html	C:/My%20Web%20Sites/pet3/themewagon.github.io/petsitting/blog.html	(from https://themewagon.github.io/petsitting/)
12:36:19	13393/13393	---M-Z	200	added ('OK')	text/html	etag:W/%2263a03005-3451%22	https://themewagon.github.io/petsitting/contact.html	C:/My%20Web%20Sites/pet3/themewagon.github.io/petsitting/contact.html	(from https://themewagon.github.io/petsitting/)
12:36:20	98185/98185	---M--	200	added ('OK')	image/jpeg	etag:%2263a03005-17f89%22	https://themewagon.github.io/petsitting/images/about-1.jpg	C:/My%20Web%20Sites/pet3/themewagon.github.io/petsitting/images/about-1.jpg	(from https://themewagon.github.io/petsitting/)
